  Segment Node Node diam. length     node from           node to
 No. name from to                   x     y     z      x     y     z
  1       21   49     9.0  38.13  105.0 119.0 140.0  105.6  99.9 107.0
  2       28   21     7.0  37.12  105.6  99.9 107.0   80.7  72.6 110.6
  3       27   21     7.0  21.85  105.6  99.9 107.0  124.6  89.2 108.4
  4       32   27     7.0  30.10  124.6  89.2 108.4  123.2  59.7 102.6
  5        4   22     8.0  20.94    0.0 108.0  87.0   14.2  95.3  95.7
  6       22   13     8.0  50.31   14.2  95.3  95.7   30.7 141.1  83.0
  7       13   11     8.0  31.04   30.7 141.1  83.0   55.0 160.0  79.0
  8        1   27     7.0  28.85  150.0  92.0  95.0  124.6  89.2 108.4
  9        8   23     6.0  56.14  150.0 104.0  60.0  113.8  87.0  20.6
 10       23   24     6.0  56.30  113.8  87.0  20.6   58.4  87.1  10.6
 11       24   25     6.0  23.07   58.4  87.1  10.6   37.2  81.4  17.7
 12        3   26     6.0  85.81   65.5   0.0  86.5   80.8  84.3  91.3
 13        2   43     6.0  26.36   52.0   0.0 113.0   43.7  21.0 126.6
 14       14    7     5.0  60.97  150.0 134.0  29.0  109.4 140.6  74.0
 15       17   14     5.0  25.69  109.4 140.6  74.0  101.5 121.7  89.5
 16       20   17     5.0  36.87  101.5 121.7  89.5   75.1 100.3  75.2
 17       18   20     5.0  25.81   75.1 100.3  75.2   55.8 111.8  62.5
 18       19   18     5.0  21.95   55.8 111.8  62.5   34.0 109.4  61.7
 19       25   19     5.0  52.25   34.0 109.4  61.7   37.2  81.4  17.7
 20       25   33     5.0  38.60   37.2  81.4  17.7   56.0  52.9  35.7
 21       33   36     5.0  37.52   56.0  52.9  35.7   49.4  46.1  72.0
 22       36   39     5.0  49.54   49.4  46.1  72.0   76.3  37.5 112.7
 23       39   28     5.0  35.44   76.3  37.5 112.7   80.7  72.6 110.6
 24       15   21     5.0  43.31  105.6  99.9 107.0   69.4 123.0 112.6
 25       16   15     5.0  21.59   69.4 123.0 112.6   47.9 124.9 113.1
 26       12   16     5.0  35.84   47.9 124.9 113.1   26.1 150.6 100.9
 27       10   12     5.0  10.19   26.1 150.6 100.9   30.0 160.0 101.4
 28        6   46     5.0  53.30    0.0 140.0  74.0   46.0 150.0  49.0
 29       46   47     5.0  60.93   46.0 150.0  49.0  100.0 124.0  38.0
 30       47    9     5.0  56.62  100.0 124.0  38.0  150.0 115.0  13.0
 31       26   20     5.0  23.40   80.8  84.3  91.3   75.1 100.3  75.2
 32       35   36     4.0  25.46   49.4  46.1  72.0   24.6  51.4  69.7
 33       45   35     4.0  46.50   24.6  51.4  69.7   10.0   7.3  67.7
 34        5   45     4.0  10.74   10.0   7.3  67.7    0.0   6.0  64.0
 35       40   37     5.0  40.60  128.1  42.2 114.6   90.5  33.5 127.2
 36       48   40     5.0  18.40   90.5  33.5 127.2   78.0  20.0 127.0
 37       43   48     5.0  34.32   78.0  20.0 127.0   43.7  21.0 126.6
 38       43   34     5.0  30.21   43.7  21.0 126.6   35.6  50.1 127.3
 39       34   31     5.0  22.01   35.6  50.1 127.3   17.6  61.6 122.0
 40       31   29     5.0  16.17   17.6  61.6 122.0   21.4  72.2 110.4
 41       29   28     5.0  59.30   21.4  72.2 110.4   80.7  72.6 110.6
 42       37   32     7.0  21.78  123.2  59.7 102.6  128.1  42.2 114.6
 43       44   37     6.0  41.32  128.1  42.2 114.6  138.0   7.6  94.3
 44       42   44     5.0  20.18  138.0   7.6  94.3  130.2  23.3  84.3
 45       38   42     5.0  73.33  130.2  23.3  84.3   97.5  40.3  20.9
 46       30   38     5.0  32.16   97.5  40.3  20.9  114.4  67.6  22.8
 47       23   30     5.0  19.53  114.4  67.6  22.8  113.8  87.0  20.6
 48       41   42     5.0  31.28  130.2  23.3  84.3  114.5  29.2 110.7
 49       39   41     5.0  39.14  114.5  29.2 110.7   76.3  37.5 112.7
 50       24   47     5.0  61.99   58.4  87.1  10.6  100.0 124.0  38.0
