Segment,Node,Node,diam.,length,node,from,node,to
No.,name,from,to,x,y,z,x,y,z
1,1,2,90.0,200.0,1000.,560.,100.,840.,680.,100.
2,2,3,90.0,126.5,840.,680.,100.,800.,800.,100.
3,3,13,90.0,233.2,800.,800.,100.,600.,920.,100.
4,4,5,74.0,102.0,1000.,260.,100.,900.,280.,100.
5,5,7,74.0,260.0,900.,280.,100.,660.,180.,100.
6,6,7,90.0,197.0,740.,0.,100.,660.,180.,100.
7,7,8,80.0,506.4,660.,180.,100.,160.,100.,100.
8,8,9,96.0,278.6,160.,100.,100.,60.,360.,100.
9,9,10,96.0,357.8,60.,360.,100.,220.,680.,100.
10,10,11,96.0,204.0,220.,680.,100.,420.,720.,100.
11,11,12,48.0,178.9,420.,720.,100.,500.,880.,100.
12,12,13,48.0,107.7,500.,880.,100.,600.,920.,100.
13,13,14,110.0,89.4,600.,920.,100.,560.,1000.,100.
14,15,16,48.0,152.3,150.,1000.,100.,90.,860.,100.
15,16,17,48.0,108.2,90.,860.,100.,0.,800.,100.

