Segment,Node,Node,diam.,length,node,from,node,to
No.,name,from,to,x,y,z,x,y,z
1,2,3,18.4,60.42,170.0,215.0,100.0,115.0,190.0,100.0
2,3,7,24.0,125.90,115.0,190.0,100.0,100.0,65.0,100.0
3,3,4,12.9,60.42,115.0,190.0,100.0,60.0,165.0,100.0
4,4,24,14.2,60.83,60.0,165.0,100.0,0.0,155.0,100.0
5,12,15,17.4,89.44,160.0,130.0,100.0,240.0,170.0,100.0
6,10,12,11.4,50.00,160.0,80.0,100.0,160.0,130.0,100.0
7,10,11,9.4,46.10,160.0,80.0,100.0,205.0,70.0,100.0
8,11,16,9.4,99.25,205.0,70.0,100.0,270.0,145.0,100.0
9,2,15,14.5,83.22,170.0,215.0,100.0,240.0,170.0,100.0
10,16,22,15.2,63.25,270.0,145.0,100.0,330.0,125.0,100.0
11,16,17,14.0,50.00,270.0,145.0,100.0,300.0,185.0,100.0
12,17,26,14.0,76.32,300.0,185.0,100.0,340.0,250.0,100.0
13,15,16,17.2,39.05,240.0,170.0,100.0,270.0,145.0,100.0
14,21,22,20.0,47.43,315.0,80.0,100.0,330.0,125.0,100.0
15,14,20,14.0,70.71,255.0,0.0,100.0,265.0,70.0,100.0
16,20,21,14.0,50.99,265.0,70.0,100.0,315.0,80.0,100.0
17,13,21,10.0,68.01,370.0,40.0,100.0,315.0,80.0,100.0
18,22,23,28.2,41.23,330.0,125.0,100.0,370.0,135.0,100.0
19,8,9,12.0,68.01,85.0,0.0,100.0,125.0,55.0,100.0
20,7,9,26.0,26.93,100.0,65.0,100.0,125.0,55.0,100.0
21,9,10,20.0,43.01,125.0,55.0,100.0,160.0,80.0,100.0
22,7,25,12.0,105.95,0.0,100.0,100.0,100.0,65.0,100.0
23,1,2,14.2,46.10,200.0,250.0,100.0,170.0,215.0,100.0
24,18,19,14.0,40.31,300.0,250.0,100.0,280.0,215.0,100.0
25,15,18,14.0,60.21,280.0,215.0,100.0,240.0,170.0,100.0
26,4,5,15.0,54.49,60.0,165.0,100.0,95.0,153.0,140.0
27,5,6,15.0,31.95,95.0,153.0,140.0,125.0,142.0,140.0
28,6,12,15.0,54.49,125.0,142.0,140.0,160.0,130.0,100.0

