Segment,Node,Node,diam.,length,node,from,node,to
No.,name,from,to,x,y,z,x,y,z
1,A1,1,2,15.5,344.27,170.0,0.0,213.0,95.0,336.0,213.0
2,A2,2,3,13.5,109.66,95.0,336.0,213.0,107.0,445.0,213.0
3,A3,3,4,16.5,90.14,107.0,445.0,213.0,57.0,520.0,213.0
4,A4,3,5,13.8,84.08,107.0,445.0,213.0,145.0,520.0,213.0
5,B1,6,7,12.3,39.12,137.0,330.0,153.0,134.0,369.0,153.0
6,B2,7,8,11.5,101.12,134.0,369.0,153.0,86.0,458.0,153.0
7,B3,8,9,10.0,66.13,86.0,458.0,153.0,63.0,520.0,153.0
8,B4,6,10,21.2,78.85,137.0,330.0,153.0,188.0,270.0,149.0
9,B5,10,11,17.4,202.09,188.0,270.0,149.0,220.0,81.0,213.0
10,B6,11,12,15.5,83.43,220.0,81.0,213.0,200.0,0.0,213.0
11,C1,13,14,8.7,93.48,183.0,520.0,131.0,236.0,443.0,131.0
12,C2,14,15,8.6,83.53,236.0,443.0,131.0,241.0,360.0,139.0
13,C3,15,10,7.8,104.92,241.0,360.0,139.0,188.0,270.0,149.0
14,D2,16,17,16.2,35.51,0.0,368.0,95.0,35.0,362.0,95.0
15,D3,17,18,9.9,30.00,35.0,362.0,95.0,63.0,358.0,105.0
16,D4,18,19,8.6,123.37,63.0,358.0,105.0,181.0,394.0,105.0
17,D5,19,20,8.8,94.22,181.0,394.0,105.0,251.0,455.0,121.0
18,D6,20,21,9.1,32.20,251.0,455.0,121.0,272.0,435.0,135.0
19,D7,21,22,8.0,28.37,272.0,435.0,135.0,284.0,410.0,141.0
20,D8,22,23,8.4,34.15,284.0,410.0,141.0,313.0,395.0,151.0
21,D9,23,24,12.0,210.07,313.0,395.0,151.0,320.0,186.0,171.0
22,d10,24,11,13.5,150.96,320.0,186.0,171.0,220.0,81.0,213.0
23,E1,2,25,16.7,50.33,95.0,336.0,213.0,110.0,334.0,165.0
24,E2,25,6,14.0,29.82,110.0,334.0,165.0,137.0,330.0,153.0
25,F1,25,26,10.1,41.53,110.0,334.0,165.0,100.0,339.0,125.0
26,F2,26,27,7.8,47.07,100.0,339.0,125.0,86.0,297.0,109.0
27,F3,27,28,10.9,65.83,86.0,297.0,109.0,35.0,263.0,85.0
28,F4,28,29,11.0,41.00,35.0,263.0,85.0,47.0,224.0,81.0
29,F5a,29,30,6.1,34.77,47.0,224.0,81.0,79.0,237.0,77.0
30,F5b,29,31,6.2,55.29,47.0,224.0,81.0,102.0,220.0,77.0
31,F5c,30,32,5.5,18.57,79.0,237.0,77.0,95.0,232.0,69.0
32,F5d,31,32,5.5,16.03,102.0,220.0,77.0,95.0,232.0,69.0
33,G1a,32,33,6.0,63.25,95.0,232.0,69.0,148.0,266.0,75.0
34,G1b,33,34,7.8,76.49,148.0,266.0,75.0,205.0,317.0,75.0
35,G2,34,35,8.7,28.02,205.0,317.0,75.0,228.0,333.0,75.0
36,G3,34,36,10.7,85.64,205.0,317.0,75.0,152.0,384.0,81.0
37,G4,36,37,13.3,53.16,152.0,384.0,81.0,103.0,403.0,89.0
38,G5,35,38,8.2,70.28,228.0,333.0,75.0,297.0,346.0,78.0
39,G7,38,39,11.7,26.74,297.0,346.0,78.0,322.0,355.0,75.0
40,H1,39,40,9.1,37.48,322.0,355.0,75.0,348.0,328.0,75.0
41,H3,40,41,14.7,30.00,348.0,328.0,75.0,348.0,358.0,75.0
42,H4,41,39,11.9,26.17,348.0,358.0,75.0,322.0,355.0,75.0
43,I1,40,42,10.3,75.48,348.0,328.0,75.0,353.0,254.0,61.0
44,I2,42,43,11.6,27.87,353.0,254.0,61.0,372.0,234.0,57.0
45,I3,43,44,10.7,29.27,372.0,234.0,57.0,393.0,254.0,61.0
46,I4,44,45,10.5,57.59,393.0,254.0,61.0,391.0,311.0,69.0
47,I5,45,40,7.4,46.63,391.0,311.0,69.0,348.0,328.0,75.0
48,J1,46,45,7.5,167.22,550.0,260.0,60.0,391.0,311.0,69.0
49,J2,45,47,7.6,50.99,391.0,311.0,69.0,399.0,361.0,75.0
50,J3,47,48,8.4,22.14,399.0,361.0,75.0,378.0,368.0,75.0
51,J4,48,41,7.0,31.62,378.0,368.0,75.0,348.0,358.0,75.0
52,K1,17,37,16.3,79.63,35.0,362.0,95.0,103.0,403.0,89.0
53,K3,37,49,9.1,66.29,103.0,403.0,89.0,166.0,422.0,81.0
54,K4,49,39,7.7,169.89,166.0,422.0,81.0,322.0,355.0,75.0
55,L1,42,50,10.6,34.93,353.0,254.0,61.0,325.0,234.0,55.0
56,L2,50,51,10.9,48.71,325.0,234.0,55.0,315.0,187.0,47.0
57,L3,51,52,6.7,39.46,315.0,187.0,47.0,354.0,181.0,47.0
58,M1,53,54,5.8,58.31,353.0,161.0,37.0,403.0,131.0,37.0
59,M2,54,55,6.1,42.86,403.0,131.0,37.0,406.0,89.0,29.0
60,M3,55,56,7.3,115.32,406.0,89.0,29.0,295.0,58.0,25.0
61,M4,56,57,8.5,60.44,295.0,58.0,25.0,312.0,0.0,25.0
62,N1,52,58,7.9,74.86,354.0,181.0,47.0,422.0,153.0,33.0
63,N2,58,59,7.1,32.88,422.0,153.0,33.0,446.0,174.0,25.0
64,N3a,59,60,6.4,45.65,446.0,174.0,25.0,468.0,134.0,25.0
